structure,A_f1,A_acc,A_auc,A_kappa,A_rec,A_prec,B_f1,B_acc,B_auc,B_kappa,B_rec,B_prec
[32],0.24531722054380664,0.7678438661710038,0.6448069900385829,0.13884500281429069,0.17001675041876047,0.4403470715835141,0.17221135029354206,0.595021541407372,0.5906635980053702,0.02354484316329908,0.10666666666666667,0.4467005076142132
[64],0.4223490537699009,0.6425650557620818,0.6208244999483802,0.19247340699551352,0.5887772194304858,0.32927400468384077,0.5480728504870818,0.48922929631402584,0.6029914652857691,0.07038576920077289,0.7842424242424243,0.4212239583333333
"[64, 32]",0.418321848398865,0.733271375464684,0.712495628324774,0.2455145039313812,0.4321608040201005,0.4053417124901807,0.5534988713318284,0.5265677357587363,0.6137418488684311,0.11467688820231103,0.743030303030303,0.44100719424460433
[128],0.4296551724137931,0.6925650557620818,0.6388209962057461,0.2280998938937926,0.5217755443886097,0.36518171160609614,0.5423268447261205,0.5160363810435615,0.5900709627924817,0.09396049165144071,0.7260606060606061,0.4328034682080925
"[128, 64]",0.4586884031122638,0.7284386617100371,0.7021530650545289,0.28064334271709257,0.518425460636516,0.4112956810631229,0.5539661898569571,0.5074198180947822,0.5962595895665516,0.0945407858306343,0.7745454545454545,0.4311740890688259
[256],0.4412689339811375,0.6366171003717472,0.6574047174877412,0.21038446639259833,0.6465661641541038,0.3349240780911063,0.5644402634054563,0.5567257060794638,0.6059723820483315,0.15695792316100143,0.7272727272727273,0.4611837048424289
"[256, 128]",0.300923889133304,0.7046468401486989,0.6782494051720619,0.11430355794518243,0.2864321608040201,0.3169601482854495,0.5339524085896692,0.6156055528961225,0.6366426927502877,0.20786278355174403,0.5575757575757576,0.512249443207127
"[256, 128, 64]",0.4220890410958904,0.7490706319702602,0.6699550267662568,0.2619340478166743,0.4128978224455611,0.4316987740805604,0.5375,0.5394925801819053,0.6069620253164557,0.1164067412074552,0.6775757575757576,0.4454183266932271
[512],0.30035158211953794,0.7410780669144982,0.6375561115019276,0.14917718926508772,0.25041876046901174,0.3751568381430364,0.5296850800206505,0.5639061752034467,0.6108112773302647,0.1394985424533357,0.6218181818181818,0.4613309352517986
[1024],0.4386129334582943,0.6659851301115242,0.6437432824258256,0.222132000671995,0.5879396984924623,0.34977578475336324,0.5397120297259638,0.5256103398755385,0.5847986191024166,0.10241773278639543,0.7042424242424242,0.4375
"[512, 256]",0.3743649863227823,0.7024163568773234,0.6544633903711902,0.18028702487675818,0.40117252931323283,0.3509157509157509,0.4969249692496925,0.6084250837721398,0.6074549290372075,0.17650636317723212,0.4896969696969697,0.5043695380774033
"[1024, 512]",0.3411669367909238,0.6977695167286245,0.6419199837377683,0.14534159840117677,0.3525963149078727,0.3304552590266876,0.5619694397283531,0.5059837242699856,0.6426783659378595,0.10005535300271251,0.8024242424242424,0.4323971260613978
