structure,metrics_A,metrics_B
[64],"{'f1': 0.43261355174981386, 'acc': 0.7167286245353159, 'prec': 0.3894101876675603, 'rec': 0.48659966499162477, 'kappa': 0.24694317962222623, 'auc': 0.6667132845306322}","{'f1': 0.5622337908187411, 'acc': 0.5572044040210627, 'prec': 0.4611801242236025, 'rec': 0.72, 'kappa': 0.1557685779408674, 'auc': 0.605741273494438}"
[128],"{'f1': 0.3026565464895636, 'acc': 0.7267657992565055, 'prec': 0.3490153172866521, 'rec': 0.26716917922948075, 'kappa': 0.1364656390062552, 'auc': 0.6568195932681403}","{'f1': 0.35742035742035744, 'acc': 0.6041168022977501, 'prec': 0.49783549783549785, 'rec': 0.2787878787878788, 'kappa': 0.1031230223808729, 'auc': 0.6003303605677024}"
"[128, 64]","{'f1': 0.3704318936877076, 'acc': 0.7182156133828996, 'prec': 0.3673805601317957, 'rec': 0.37353433835845895, 'kappa': 0.1889346150082617, 'auc': 0.6924595504997515}","{'f1': 0.5553681843732434, 'acc': 0.6213499281953088, 'prec': 0.5178197064989518, 'rec': 0.5987878787878788, 'kappa': 0.22865507968094945, 'auc': 0.6484455312619869}"
[256],"{'f1': 0.38984375, 'acc': 0.7096654275092937, 'prec': 0.36530014641288433, 'rec': 0.41792294807370184, 'kappa': 0.20048270387236278, 'auc': 0.6299562992538741}","{'f1': 0.5285481239804242, 'acc': 0.584968884633796, 'prec': 0.47928994082840237, 'rec': 0.5890909090909091, 'kappa': 0.16481268079301992, 'auc': 0.6042606444188723}"
"[256, 128]","{'f1': 0.3357723577235772, 'acc': 0.696282527881041, 'prec': 0.32622432859399686, 'rec': 0.3458961474036851, 'kappa': 0.13912345890826816, 'auc': 0.6893154456787841}","{'f1': 0.5762543467461501, 'acc': 0.59167065581618, 'prec': 0.4882154882154882, 'rec': 0.703030303030303, 'kappa': 0.20625784814586645, 'auc': 0.6463540467970849}"
"[256, 128, 64]","{'f1': 0.356376127093173, 'acc': 0.7213754646840149, 'prec': 0.3656387665198238, 'rec': 0.347571189279732, 'kappa': 0.17872549299159646, 'auc': 0.671397079360811}","{'f1': 0.49563046192259674, 'acc': 0.6132120631881283, 'prec': 0.510939510939511, 'rec': 0.4812121212121212, 'kappa': 0.182422326071625, 'auc': 0.6285155350978135}"
[512],"{'f1': 0.3031869078380706, 'acc': 0.6992565055762082, 'prec': 0.3120567375886525, 'rec': 0.2948073701842546, 'kappa': 0.11163281318248874, 'auc': 0.6404904359350503}","{'f1': 0.49661121380160195, 'acc': 0.6089037817137386, 'prec': 0.5050125313283208, 'rec': 0.48848484848484847, 'kappa': 0.1769907322349351, 'auc': 0.6040079593402379}"
[1024],"{'f1': 0.37959667852906287, 'acc': 0.708364312267658, 'prec': 0.3595505617977528, 'rec': 0.4020100502512563, 'kappa': 0.1897497033991039, 'auc': 0.6446797412768572}","{'f1': 0.5016181229773463, 'acc': 0.5576831019626616, 'prec': 0.4518950437317784, 'rec': 0.5636363636363636, 'kappa': 0.11259882049839176, 'auc': 0.60018028385117}"
"[512, 256]","{'f1': 0.37981952420016407, 'acc': 0.7189591078066915, 'prec': 0.3721864951768489, 'rec': 0.3877721943048576, 'kappa': 0.1982312231070137, 'auc': 0.6470488491189824}","{'f1': 0.5005662514156285, 'acc': 0.5777884155098133, 'prec': 0.46971307120085015, 'rec': 0.5357575757575758, 'kappa': 0.1376188612905822, 'auc': 0.5836095128500192}"
"[1024, 512]","{'f1': 0.37859748682610456, 'acc': 0.7150557620817843, 'prec': 0.36684996072270226, 'rec': 0.39112227805695143, 'kappa': 0.19398866517547553, 'auc': 0.634303665164491}","{'f1': 0.5231316725978647, 'acc': 0.6151268549545237, 'prec': 0.5121951219512195, 'rec': 0.5345454545454545, 'kappa': 0.20074578710233726, 'auc': 0.6239719984656694}"
