architecture,learning_rate,weight_decay,dropout,best_threshold,combo_best_metrics
[256],0.001,0.01,0.3,0.3,"Metrics(f1=np.float64(0.697461537612502), acc=np.float64(0.6674107142857143), prec=np.float64(0.5903295609945761), rec=np.float64(0.8824347195179483), kappa=np.float64(0.37831462170555596), auc=np.float64(0.7247063021886898), epoch=15)"
[256],0.001,0.01,0.4,0.3,"Metrics(f1=np.float64(0.6959526744483433), acc=np.float64(0.6678571428571427), prec=np.float64(0.5937284124384719), rec=np.float64(0.8762524041200747), kappa=np.float64(0.3765243395592687), auc=np.float64(0.7275977045205837), epoch=11)"
[256],0.001,0.001,0.3,0.3,"Metrics(f1=np.float64(0.6745964664918471), acc=np.float64(0.6838169642857143), prec=np.float64(0.6089791197828384), rec=np.float64(0.765209112343104), kappa=np.float64(0.38014873048041153), auc=np.float64(0.7331356022262389), epoch=10)"
[256],0.001,0.001,0.4,0.3,"Metrics(f1=np.float64(0.6728875635440997), acc=np.float64(0.6629464285714285), prec=np.float64(0.5999446099790947), rec=np.float64(0.7930819357811346), kappa=np.float64(0.3570180961533179), auc=np.float64(0.7015767549669726), epoch=11)"
[256],0.001,0.0001,0.3,0.3,"Metrics(f1=np.float64(0.6917470152190439), acc=np.float64(0.6768973214285714), prec=np.float64(0.6077076858308627), rec=np.float64(0.8359783523224277), kappa=np.float64(0.3868412442208564), auc=np.float64(0.7183844954403862), epoch=7)"
[256],0.001,0.0001,0.4,0.3,"Metrics(f1=np.float64(0.660231386746857), acc=np.float64(0.6568080357142857), prec=np.float64(0.6096271493268324), rec=np.float64(0.7543833961165252), kappa=np.float64(0.34097770495763746), auc=np.float64(0.6948780387969833), epoch=8)"
[256],0.0001,0.01,0.3,0.3,"Metrics(f1=np.float64(0.6750053753558294), acc=np.float64(0.64609375), prec=np.float64(0.5897789468914449), rec=np.float64(0.8283448121155871), kappa=np.float64(0.3364164374938722), auc=np.float64(0.6765755694504417), epoch=5)"
[256],0.0001,0.01,0.4,0.3,"Metrics(f1=np.float64(0.6608227599084711), acc=np.float64(0.6262276785714286), prec=np.float64(0.5781822772285954), rec=np.float64(0.8208429718331646), kappa=np.float64(0.30380542364839475), auc=np.float64(0.685854967444657), epoch=11)"
[256],0.0001,0.001,0.3,0.3,"Metrics(f1=np.float64(0.6754121960140758), acc=np.float64(0.65546875), prec=np.float64(0.6002508973733593), rec=np.float64(0.8085042236215635), kappa=np.float64(0.34811021330465347), auc=np.float64(0.6822949062531533), epoch=10)"
[256],0.0001,0.001,0.4,0.3,"Metrics(f1=np.float64(0.6551055835219206), acc=np.float64(0.6417410714285714), prec=np.float64(0.5775905606418312), rec=np.float64(0.7833647067631342), kappa=np.float64(0.3149820399907603), auc=np.float64(0.6914896490259655), epoch=8)"
[256],0.0001,0.0001,0.3,0.3,"Metrics(f1=np.float64(0.6630254191559116), acc=np.float64(0.6466517857142857), prec=np.float64(0.6035540650078929), rec=np.float64(0.7893042507606373), kappa=np.float64(0.33062227569512703), auc=np.float64(0.6851557990919257), epoch=5)"
[256],0.0001,0.0001,0.4,0.3,"Metrics(f1=np.float64(0.6544494883909056), acc=np.float64(0.6252232142857144), prec=np.float64(0.5597641836779179), rec=np.float64(0.8147525698170563), kappa=np.float64(0.29373078630870336), auc=np.float64(0.6840329519341544), epoch=3)"
