structure,f1,acc,prec,rec,kappa,auc
[32],0.4199318568994889,0.7468401486988847,0.427209705372617,0.4128978224455611,0.25808040266945087,0.6461071882745468
[64],0.43690736688548504,0.7130111524163569,0.38695090439276486,0.501675041876047,0.24862347015052277,0.6483748572452963
"[64, 32]",0.4777744179014212,0.678996282527881,0.3738760056791292,0.661641541038526,0.2710345104620998,0.6952212087671996
[128],0.3865800865800866,0.4732342007434944,0.2606538237011092,0.7479061976549414,0.08560425161769802,0.6523464791708182
"[128, 64]",0.3644578313253012,0.6862453531598512,0.33105335157318744,0.4053601340033501,0.1589720489600691,0.6693987135870466
[256],0.4186643835616438,0.7475836431226766,0.42819614711033277,0.40954773869346733,0.2575603236555879,0.673196969078551
"[256, 128]",0.42023947470065665,0.721003717472119,0.3899641577060932,0.4556113902847571,0.23799629348642515,0.692712247333178
"[256, 128, 64]",0.44289207125392943,0.7035315985130112,0.37986818454164173,0.5309882747068677,0.24841697315878752,0.7262410955878292
[512],0.47032546266751757,0.6914498141263941,0.37989690721649483,0.6172529313232831,0.2696553867290362,0.6695119569819155
[1024],0.4094616639477977,0.7308550185873606,0.3990461049284579,0.4204355108877722,0.2353255744010202,0.6348715827905254
"[512, 256]",0.48232848232848236,0.7223048327137547,0.41134751773049644,0.5829145728643216,0.3002271250399611,0.7180174442846499
"[1024, 512]",0.3764607679465776,0.7223048327137547,0.3752079866888519,0.3777219430485762,0.19784066113485455,0.676022151688527
