structure,f1,acc,prec,rec,kappa,auc
[32],0.05934065934065934,0.5902345619913835,0.3176470588235294,0.03272727272727273,-0.01558662834944391,0.5392606444188723
[64],0.0967741935483871,0.5710866443274294,0.2874251497005988,0.05818181818181818,-0.04174565239895878,0.531421173762946
"[64, 32]",0.05537098560354374,0.59167065581618,0.32051282051282054,0.030303030303030304,-0.013796697554200987,0.5236862293824319
[128],0.09302325581395349,0.5706079463858306,0.2804878048780488,0.055757575757575756,-0.04367332230156595,0.5333419639432297
"[128, 64]",0.11213047910295616,0.5830540928674006,0.3525641025641026,0.06666666666666667,-0.015408148516470321,0.5434196394322977
[256],0.07578947368421053,0.5797032072762087,0.288,0.04363636363636364,-0.0314019006916717,0.534589566551592
"[256, 128]",0.00954653937947494,0.6026807084729535,0.3076923076923077,0.0048484848484848485,-0.0027401031268867726,0.5496825853471423
"[256, 128, 64]",0.040632054176072234,0.5931067496409765,0.29508196721311475,0.02181818181818182,-0.014538876610954876,0.5159599156118144
[512],0.08641975308641975,0.5749162278602202,0.2857142857142857,0.05090909090909091,-0.03751430402727585,0.5412456846950517
[1024],0.07345225603357818,0.5773097175682145,0.2734375,0.04242424242424243,-0.03650785534190781,0.5326994629842732
"[512, 256]",0.04104903078677309,0.5974150311153662,0.34615384615384615,0.02181818181818182,-0.006067849274990378,0.5571154583812812
"[1024, 512]",0.023337222870478413,0.5993298228817616,0.3125,0.012121212121212121,-0.0063425446035707544,0.5467692750287687
