architecture,learning_rate,weight_decay,dropout,best_threshold,avg_val_f1,avg_val_auc,avg_val_acc,avg_val_prec,avg_val_rec,avg_val_kappa
32,0.001,0.01,0.2,0.3,0.4799219497409892,0.7403286417686068,0.6934507247828744,0.37338090636606697,0.6853612545707082,0.2913231343331587
32,0.001,0.01,0.3,0.5,0.4968380495723463,0.7485492893351384,0.7129307299068394,0.39359421046909365,0.6928389154641119,0.31907440275933957
32,0.001,0.01,0.4,0.3,0.48639168990059395,0.7377563607513585,0.7095711950436414,0.3856165720534925,0.6725139439670136,0.30549232351038347
32,0.001,0.01,0.5,0.3,0.4791175444768524,0.7309235760518165,0.7012565759271824,0.3772601609561459,0.6658315455915227,0.2936184488936376
32,0.001,0.01,0.6,0.3,0.4831206156951306,0.730029241335845,0.6681676788205251,0.3589113960500012,0.7564500818951481,0.28408355988782097
32,0.001,0.01,0.7,0.4,0.47254540518627924,0.7228170069430198,0.7022244661469967,0.37141635195602063,0.6558248844898867,0.28614999314156764
32,0.001,0.001,0.2,0.3,0.4802658174821065,0.7360290406723495,0.7250823141840337,0.40787124034300604,0.6120327743287405,0.3094892407333433
32,0.001,0.001,0.3,0.3,0.4671505182450343,0.7283714794577687,0.7339185947449184,0.4014005265026884,0.5642343413278457,0.2978182010371185
32,0.001,0.001,0.4,0.3,0.46339175952923106,0.7173018059024521,0.6777208813295549,0.3615203843702187,0.67068852419094,0.2680019097523939
32,0.001,0.001,0.5,0.3,0.460565705855892,0.7101438382157189,0.6847992523674312,0.3600155521423421,0.6575290876985125,0.26640218379905456
32,0.001,0.001,0.6,0.3,0.4595597688084466,0.7138503173616528,0.7104339583144087,0.3766913478286369,0.6004947243657617,0.27747515593126876
32,0.001,0.001,0.7,0.4,0.4498953220290763,0.7003813143297644,0.7017427952586234,0.3643078423089562,0.6004305063806984,0.2624525070372875
32,0.001,0.0001,0.2,0.3,0.47403747781858446,0.7335272671319535,0.7343735628702979,0.41034159396842407,0.5823445892032719,0.30715429159697016
