architecture,learning_rate,weight_decay,dropout,best_threshold,combo_best_f1,combo_best_auc,combo_best_acc,combo_best_prec,combo_best_rec,combo_best_kappa,combo_best_epoch
"[1024, 512]",0.001,0.01,0.2,0.7,0.8951422473814601,0.9862180823853762,0.9455752836252582,0.8789280424681072,0.9121788979567087,0.8584132947781296,57
"[1024, 512]",0.001,0.01,0.3,0.7,0.8995501982537994,0.9871639656441877,0.9482613205020053,0.8899246886566019,0.909405839102719,0.8647136220961423,57
"[1024, 512]",0.001,0.01,0.4,0.7,0.8976652137119701,0.9868582548890871,0.9469183769935254,0.8828527877761958,0.9132904892483934,0.8618511177361053,57
"[1024, 512]",0.001,0.01,0.5,0.7,0.8874103952137704,0.9841779420607825,0.9420411964555664,0.8779932887720452,0.8974731486552431,0.8484006814771481,56
"[1024, 512]",0.001,0.001,0.2,0.6,0.9144492649008182,0.9900489410558352,0.9550466782017075,0.8878599714439641,0.9428418391065689,0.8840037442566482,57
"[1024, 512]",0.001,0.001,0.3,0.7,0.9145332730404021,0.9900579831651793,0.9560008791774196,0.9052794335799197,0.9241097596541159,0.8849140788758394,58
"[1024, 512]",0.001,0.001,0.4,0.7,0.9089190325914001,0.9895196422031718,0.9526434392321683,0.8909962383102485,0.9277174985394062,0.8769423653402468,58
"[1024, 512]",0.001,0.001,0.5,0.7,0.904916762783413,0.9890716312606687,0.9505937756986119,0.8881210921815533,0.9225834270968786,0.8715635915568989,57
"[1024, 512]",0.001,0.0001,0.2,0.6,0.9225886688518135,0.991028281594651,0.95971161981571,0.9035744860138823,0.9424252690909476,0.8953750216256553,54
"[1024, 512]",0.001,0.0001,0.3,0.7,0.9212421690942818,0.9912365000624351,0.9594288656176065,0.9115100414059352,0.9313267774247542,0.8939253004498081,56
"[1024, 512]",0.001,0.0001,0.4,0.6,0.9172048079164231,0.9907942499255465,0.9569903658889153,0.8997141581162525,0.9354863175807371,0.888170604350585,58
"[1024, 512]",0.001,0.0001,0.5,0.7,0.9169532939995568,0.9908498998564866,0.9569197132432968,0.9009941614241377,0.9335461100079792,0.8878829921532662,57
"[1024, 512]",0.0001,0.01,0.2,0.7,0.9233362023579705,0.9891189929780841,0.9607365483669342,0.9187823891258047,0.9281360898051034,0.8969503356483617,50
"[1024, 512]",0.0001,0.01,0.3,0.6,0.9229668805639942,0.9898983141898622,0.9601003998134245,0.9080807831433715,0.9385385976951974,0.8960570298225046,57
"[1024, 512]",0.0001,0.01,0.4,0.6,0.9176668734860318,0.9895912425191133,0.9572024736855578,0.8998118990571626,0.9363200351120013,0.8887698118519983,58
"[1024, 512]",0.0001,0.01,0.5,0.7,0.9165247174080035,0.9893021817505352,0.9569903908655464,0.9065182889450554,0.9268879197582969,0.8875641829267531,56
"[1024, 512]",0.0001,0.001,0.2,0.7,0.9265481956551292,0.9903068152090967,0.9623975193209852,0.9221963529548247,0.9310505399143952,0.9012809312115859,49
"[1024, 512]",0.0001,0.001,0.3,0.7,0.9259091770970829,0.9907099073122282,0.9619381428750724,0.9188087636022549,0.9332676587475373,0.9003045129978732,53
"[1024, 512]",0.0001,0.001,0.4,0.7,0.9213261327879538,0.990815177373355,0.9593582629252506,0.9089543693091876,0.9341001250287547,0.8939365124225025,59
"[1024, 512]",0.0001,0.001,0.5,0.7,0.9176800059521133,0.990742506127978,0.9572377344447102,0.9004419163743227,0.9357657313412149,0.8888138992391859,57
"[1024, 512]",0.0001,0.0001,0.2,0.7,0.9263512727350065,0.9908438228785803,0.9622208346315977,0.9202639082984747,0.9325745624715461,0.9009478227186248,50
"[1024, 512]",0.0001,0.0001,0.3,0.7,0.9250169144307001,0.991291163897689,0.9613019631007738,0.9133484197988178,0.9370149601380611,0.8989446232984104,55
"[1024, 512]",0.0001,0.0001,0.4,0.7,0.9212646585275748,0.9910568720114739,0.9593228210855218,0.9088170943456124,0.9341014725288053,0.8938501337245327,55
"[1024, 512]",0.0001,0.0001,0.5,0.7,0.9162695828424168,0.9907244075131976,0.9565309270014243,0.899675861454012,0.9335454362579538,0.8869299397598024,59
